epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,682.459,0.21209,0.1704,0.8056,0.99906,0.9965,0.995,0.99363,0.17459,0.16115,0.76314,0.000346736,0.000346736,0.000346736
82,691.146,0.20669,0.16823,0.80861,0.99832,0.99602,0.995,0.99333,0.17498,0.16051,0.76357,0.000330233,0.000330233,0.000330233
83,698.986,0.20157,0.16257,0.80224,0.99843,0.99616,0.995,0.99334,0.17888,0.15952,0.76435,0.000313729,0.000313729,0.000313729
84,706.842,0.20172,0.15997,0.80279,0.99812,0.99548,0.995,0.99332,0.18126,0.1626,0.76589,0.000297226,0.000297226,0.000297226
85,715.262,0.20151,0.15999,0.80268,0.99802,0.99564,0.995,0.99336,0.17301,0.16633,0.76593,0.000280723,0.000280723,0.000280723
86,723.644,0.20061,0.16296,0.80943,0.99871,0.99634,0.995,0.99343,0.17018,0.1574,0.76512,0.00026422,0.00026422,0.00026422
87,731.493,0.19243,0.15613,0.79839,0.995,0.9965,0.995,0.9934,0.17073,0.1553,0.76501,0.000247716,0.000247716,0.000247716
88,739.33,0.19579,0.15661,0.80059,0.99756,0.9965,0.995,0.99269,0.17247,0.15609,0.76561,0.000231213,0.000231213,0.000231213
89,747.164,0.18963,0.15169,0.80314,0.999,0.9965,0.995,0.99336,0.16572,0.15366,0.76447,0.00021471,0.00021471,0.00021471
90,755.581,0.18835,0.15058,0.80029,0.99888,0.9965,0.995,0.99315,0.16616,0.14676,0.76391,0.000198206,0.000198206,0.000198206
91,764.723,0.17361,0.139,0.78633,0.99898,0.9965,0.995,0.99319,0.17422,0.15146,0.7636,0.000181703,0.000181703,0.000181703
92,773.141,0.17714,0.14117,0.79247,0.99902,0.9965,0.995,0.99296,0.17111,0.1473,0.76415,0.0001652,0.0001652,0.0001652
93,781.572,0.17088,0.13791,0.78551,0.999,0.9965,0.995,0.99362,0.16866,0.14827,0.76255,0.000148696,0.000148696,0.000148696
94,789.959,0.16813,0.13546,0.78085,0.99915,0.9965,0.995,0.99371,0.1677,0.14509,0.76373,0.000132193,0.000132193,0.000132193
95,798.57,0.16869,0.13398,0.78643,0.99887,0.9965,0.995,0.99369,0.16376,0.14531,0.76386,0.00011569,0.00011569,0.00011569
96,806.628,0.16756,0.13405,0.78587,0.99906,0.9965,0.995,0.99392,0.16448,0.14172,0.76225,9.91865e-05,9.91865e-05,9.91865e-05
97,814.537,0.16571,0.13234,0.78841,0.99903,0.9965,0.995,0.99371,0.16529,0.14215,0.76179,8.26832e-05,8.26832e-05,8.26832e-05
98,822.34,0.15863,0.12815,0.78405,0.99864,0.9965,0.995,0.99361,0.16109,0.13896,0.76111,6.61799e-05,6.61799e-05,6.61799e-05
99,830.139,0.16036,0.13023,0.78967,0.99887,0.9965,0.995,0.9938,0.15952,0.13963,0.76106,4.96766e-05,4.96766e-05,4.96766e-05
100,838.324,0.16093,0.12717,0.78325,0.99884,0.9965,0.995,0.99377,0.16283,0.14052,0.76128,3.31733e-05,3.31733e-05,3.31733e-05
